Allele1,Allele2,Value
Am-AG-4B_106,Am-AG-4B_111,1.0
Am-AG-4B_107,Am-AG-4B_101,1.0
Am-AG-4B_107,Am-AG-4B_102,1.0
Am-AG-4B_107,Am-AG-4B_103,1.0
Am-AG-4B_107,Am-AG-4B_104,1.0
Am-AG-4B_107,Am-AG-4B_105,1.0
Am-AG-4B_107,Am-AG-4B_106,1.0
Am-AG-4B_107,Am-AG-4B_107,1.0
Am-AG-4B_107,Am-AG-4B_108,1.0
Am-AG-4B_107,Am-AG-4B_109,1.0
Am-AG-4B_107,Am-AG-4B_110,1.0
Am-AG-4B_107,Am-AG-4B_111,1.0
Am-AG-4B_108,Am-AG-4B_101,1.0
Am-AG-4B_108,Am-AG-4B_102,1.0
Am-AG-4B_108,Am-AG-4B_103,1.0
Am-AG-4B_108,Am-AG-4B_104,1.0
Am-AG-4B_108,Am-AG-4B_105,1.0
Am-AG-4B_108,Am-AG-4B_106,1.0
Am-AG-4B_108,Am-AG-4B_107,1.0
Am-AG-4B_108,Am-AG-4B_108,1.0
Am-AG-4B_108,Am-AG-4B_109,1.0
Am-AG-4B_108,Am-AG-4B_110,1.0
Am-AG-4B_108,Am-AG-4B_111,1.0
Am-AG-4B_109,Am-AG-4B_101,1.0
Am-AG-4B_109,Am-AG-4B_102,1.0
Am-AG-4B_109,Am-AG-4B_103,1.0
Am-AG-4B_109,Am-AG-4B_104,1.0
Am-AG-4B_109,Am-AG-4B_105,1.0
Am-AG-4B_109,Am-AG-4B_106,1.0
Am-AG-4B_109,Am-AG-4B_107,1.0
Am-AG-4B_109,Am-AG-4B_108,1.0
Am-AG-4B_109,Am-AG-4B_109,1.0
Am-AG-4B_109,Am-AG-4B_110,1.0
Am-AG-4B_109,Am-AG-4B_111,1.0
Am-AG-4B_110,Am-AG-4B_101,1.0
Am-AG-4B_110,Am-AG-4B_102,1.0
Am-AG-4B_110,Am-AG-4B_103,1.0
Am-AG-4B_110,Am-AG-4B_104,1.0
Am-AG-4B_110,Am-AG-4B_105,1.0
Am-AG-4B_110,Am-AG-4B_106,1.0
Am-AG-4B_110,Am-AG-4B_107,1.0
Am-AG-4B_110,Am-AG-4B_108,1.0
Am-AG-4B_110,Am-AG-4B_109,1.0
Am-AG-4B_110,Am-AG-4B_110,1.0
Am-AG-4B_110,Am-AG-4B_111,1.0
Am-AG-4B_111,Am-AG-4B_101,1.0
Am-AG-4B_111,Am-AG-4B_102,1.0
Am-AG-4B_111,Am-AG-4B_103,1.0
Am-AG-4B_111,Am-AG-4B_104,1.0
Am-AG-4B_111,Am-AG-4B_105,1.0
Am-AG-4B_111,Am-AG-4B_106,1.0
Am-AG-4B_111,Am-AG-4B_107,1.0
Am-AG-4B_111,Am-AG-4B_108,1.0
Am-AG-4B_111,Am-AG-4B_109,1.0
Am-AG-4B_111,Am-AG-4B_110,1.0
Am-AG-4B_111,Am-AG-4B_111,1.0
